Name,Movies,Number of Movies,Url
Ben Kingsley,"['La liste de Schindler', 'Shutter Island', 'Gandhi']",3,https://imdb.com/name/nm0001426?ref_=tt_cl_t_3
Caroline Goodall,['La liste de Schindler'],1,https://imdb.com/name/nm0328751?ref_=tt_cl_t_4
Jonathan Sagall,['La liste de Schindler'],1,https://imdb.com/name/nm0755974?ref_=tt_cl_t_5
Embeth Davidtz,['La liste de Schindler'],1,https://imdb.com/name/nm0001110?ref_=tt_cl_t_6
Malgorzata Gebel,['La liste de Schindler'],1,https://imdb.com/name/nm0311343?ref_=tt_cl_t_7
Shmuel Levy,['La liste de Schindler'],1,https://imdb.com/name/nm0506616?ref_=tt_cl_t_8
Mark Ivanir,['La liste de Schindler'],1,https://imdb.com/name/nm0411980?ref_=tt_cl_t_9
Béatrice Macola,['La liste de Schindler'],1,https://imdb.com/name/nm0534151?ref_=tt_cl_t_10
Elijah Wood,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours', 'Eternal Sunshine of the Spotless Mind']",4,https://imdb.com/name/nm0000704?ref_=tt_cl_t_1
Viggo Mortensen,"['Le Seigneur des anneaux : Le Retour du roi', 'Le Seigneur des anneaux : Les Deux Tours', 'Green Book: Sur les routes du Sud']",3,https://imdb.com/name/nm0001557?ref_=tt_cl_t_2
Ian McKellen,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours']",3,https://imdb.com/name/nm0005212?ref_=tt_cl_t_3
Orlando Bloom,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours', 'Pirates des Caraïbes : La malédiction du Black Pearl']",4,https://imdb.com/name/nm0089217?ref_=tt_cl_t_4
Noel Appleby,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau""]",2,https://imdb.com/name/nm0032370?ref_=tt_cl_t_5
Ali Astin,['Le Seigneur des anneaux : Le Retour du roi'],1,https://imdb.com/name/nm0040012?ref_=tt_cl_t_6
Sean Astin,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours']",3,https://imdb.com/name/nm0000276?ref_=tt_cl_t_7
David Aston,['Le Seigneur des anneaux : Le Retour du roi'],1,https://imdb.com/name/nm0040058?ref_=tt_cl_t_8
John Bach,"['Le Seigneur des anneaux : Le Retour du roi', 'Le Seigneur des anneaux : Les Deux Tours']",2,https://imdb.com/name/nm0045324?ref_=tt_cl_t_9
Sean Bean,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau""]",2,https://imdb.com/name/nm0000293?ref_=tt_cl_t_10
John Travolta,['Pulp Fiction'],1,https://imdb.com/name/nm0000237?ref_=tt_cl_t_1
Uma Thurman,"['Pulp Fiction', 'Kill Bill: Volume I']",2,https://imdb.com/name/nm0000235?ref_=tt_cl_t_2
Samuel L. Jackson,"['Pulp Fiction', 'Django Unchained', 'Jurassic Park', 'Les Indestructibles']",4,https://imdb.com/name/nm0000168?ref_=tt_cl_t_3
